,moon_x,moon_y
327,-353816.723543321,152912.17966571738
328,-353915.18700307887,152719.71817521387
329,-354013.52051153156,152527.20021157892
330,-354111.72402325866,152334.62584007517
331,-354209.79749277345,152141.99512619767
332,-354307.7408746722,151949.3081351592
333,-354405.5541235844,151756.564932405
334,-354503.23719418986,151563.76558341357
335,-354600.79004111764,151370.91015358048
336,-354698.2126191641,151177.99870843414
337,-354795.50488304143,150985.03131343637
338,-354892.6667874792,150792.00803419878
339,-354989.6982874395,150598.9289361998
340,-355086.5993376347,150405.7940850842
341,-355183.36989302706,150212.60354646354
342,-355280.0099084957,150019.35738598238
343,-355376.5193390687,149826.055669352
344,-355472.89813964174,149632.6984622338
345,-355569.1462652434,149439.285830372
346,-355665.263670952,149245.81783952776
347,-355761.2503118293,149052.29455552858
348,-355857.10614298703,148858.71604413548
349,-355952.8311196196,148665.08237117596
350,-356048.4251968389,148471.3936025939
351,-356143.8883299228,148277.64980423322
352,-356239.22047406586,148083.85104203798
353,-356334.42158461246,147889.99738193522
354,-356429.49161680724,147696.0888899851
355,-356524.4305260444,147502.12563211482
356,-356619.2382676682,147308.10767438464
357,-356713.91479712265,147114.03508290436
358,-356808.46006983536,146919.90792370093
359,-356902.8740412836,146725.72626293424
360,-356997.1566669943,146531.49016671424
361,-357091.3079025115,146337.19970125062
362,-357185.3277034288,146142.8549327696
363,-357279.2160253066,145948.4559274477
364,-357372.97282383824,145754.00275156111
365,-357466.59805468394,145559.49547141916
366,-357560.09167353704,145364.93415328136
367,-357653.4536362239,145170.3188635734
368,-357746.6838984213,144975.6496685881
369,-357839.7824160055,144780.92663476773
370,-357932.7491447863,144586.14982848818
371,-358025.58404065634,144391.3193162582
372,-358118.28705955856,144196.43516452005
373,-358210.858157419,144001.4974398158
374,-358303.2972901969,143806.50620865426
375,-358395.6044139016,143611.46153759398
376,-358487.77948467515,143416.36349324347
377,-358579.8224584438,143221.21214216133
378,-358671.73329139955,143026.007551089
379,-358763.51193973434,142830.7497866183
380,-358855.15835957386,142635.43891550734
381,-358935.2400927234,142464.49920580155
382,-359026.9155071333,142268.4961147494
383,-359118.1811253258,142073.03277359513
384,-359209.3143454232,141877.5165846582
385,-359300.3151237835,141681.94761484614
386,-359391.1834167485,141486.32593101668
387,-359481.9191807763,141290.65159999437
388,-359572.52237230825,141094.9246887697
389,-359662.9929478189,140899.1452642504
390,-359753.33086379943,140703.3133934104
391,-359843.53607687424,140507.42914324047
392,-359933.608543518,140311.49258079758
393,-360023.54822043783,140115.50377315556
394,-360113.35506420827,139919.46278732165
395,-360203.0290316195,139723.36969046923
396,-360292.5700792794,139527.22454972196
397,-360381.9781640282,139331.0274322532
398,-360471.25324258994,139134.778405253
399,-360560.39527182135,138938.47753589487
400,-360649.404208563,138742.12489150168
401,-360738.28000970476,138545.72053928016
402,-360827.02263218706,138349.26454660305
403,-360915.6320329496,138152.75698074352
404,-361004.1081689824,137956.19790910764
405,-361092.45099734195,137759.58739905164
406,-361180.6604750513,137562.9255179815
407,-361268.73655923345,137366.21233333653
408,-361356.6792069613,137169.44791260586
